median,min,max,overlap,idx
45,44,70,0.99632,1
45,44,66,0.99731,1
45,44,69,0.99559,1
45,44,67,0.99771,1
45,44,67,0.99637,1
45,44,69,0.99592,1
45,44,71,0.99517,1
45,44,69,0.99724,1
45,44,67,0.99515,1
45,44,64,0.99643,1
45,44,67,0.99755,1
45,44,65,0.99636,1
45,44,68,0.99682,1
45,44,67,0.99628,1
45,44,71,0.99727,1
45,44,70,0.99693,1
45,44,68,0.99665,1
45,44,69,0.99698,1
45,44,70,0.99817,1
45,44,71,0.99756,1
45,44,65,0.99545,1
45,44,68,0.99456,1
45,44,70,0.99656,1
45,44,72,0.99738,1
45,44,66,0.99734,1
45,44,69,0.99585,1
45,44,64,0.99711,1
45,44,72,0.99725,1
45,44,66,0.9974,1
45,44,74,0.997,1
45,44,64,0.99706,1
45,44,67,0.9961,1
45,44,66,0.99682,1
45,44,64,0.99708,1
45,44,65,0.99679,1
45,44,68,0.99657,1
45,44,67,0.99718,1
45,44,74,0.99628,1
45,44,68,0.99609,1
45,44,73,0.99804,1
45,44,69,0.99607,1
45,44,69,0.99537,1
45,44,66,0.99808,1
45,44,65,0.9949,1
45,44,68,0.99564,1
45,44,66,0.99733,1
45,44,66,0.99747,1
45,44,66,0.99782,1
45,44,66,0.99432,1
45,44,69,0.99478,1
45,44,65,0.99622,1
45,44,67,0.99483,1
45,44,66,0.99446,1
45,44,67,0.99643,1
45,44,66,0.99735,1
45,44,68,0.9964,1
45,44,68,0.99573,1
45,44,70,0.99692,1
45,44,65,0.99607,1
45,44,66,0.9974,1
45,44,65,0.99593,1
45,44,65,0.99641,1
45,44,63,0.99656,1
45,44,74,0.99548,1
45,44,67,0.99666,1
45,44,71,0.99553,1
45,44,67,0.99551,1
45,44,70,0.99673,1
45,44,69,0.99585,1
45,44,68,0.99587,1
45,44,67,0.99561,1
45,44,67,0.9969,1
45,44,69,0.99647,1
45,44,70,0.99692,1
45,44,68,0.99581,1
45,44,66,0.99651,1
45,44,67,0.99718,1
45,44,66,0.9945,1
45,44,65,0.99677,1
45,44,67,0.99706,1
45,44,64,0.9969,1
